,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,Emotion,Intensity
0,-682.78656,49.554104,-2.9572272,6.4926,-4.533283,-5.577244,-14.285715,-6.971066,-11.032431,-4.461883,-10.3055105,-2.746315,-6.5565057,-1.812848,-4.511021,-4.9149756,-4.475509,-2.9341207,-5.428963,-4.1340513,-3.5274713,-3.4832654,-3.214682,-0.5886317,-1.4659504,3.7264953,-0.2756922,3.0002804,-0.8657448,0.19984195,-1.8997014,0.47262332,0.66282535,4.2260647,5.2886024,6.437543,4.037335,1.3426143,-0.1774042,-0.84431916,Sad,Normal
1,-698.39307,45.490097,-8.718443,4.098103,-10.368684,-3.493486,-12.813138,-12.30238,-10.428462,-6.4913435,-10.057565,-1.070226,-8.734581,-3.19185,-1.9661642,-7.5157647,-5.3258333,-1.5627042,-5.8301554,-4.307759,-5.0530305,-3.2089448,-4.3281217,-1.7910621,-0.8049004,0.7907518,-1.7063738,3.5505252,0.5081005,2.602736,1.4875046,4.522738,4.7230773,8.205063,7.10962,6.4114146,2.029982,0.9449768,-1.118757,-0.6195046,Sad,Normal
2,-683.5415,45.79079,-8.732436,5.6522756,-10.264516,-3.6317108,-13.565022,-10.328115,-7.7461457,-3.9264731,-8.338086,0.90442497,-8.367077,-3.2067924,-3.1894944,-5.57525,-4.1570473,-3.514244,-5.989745,-2.9673774,-4.072393,-1.116465,-1.4588648,2.1082492,-1.023374,2.5551026,-1.3783191,5.1390553,4.224835,8.341807,5.171337,4.0698366,0.6057568,1.7954941,1.5908629,3.0359232,-0.85601544,-3.284239,-3.6863446,-0.40430352,Neutral,Normal
3,-510.97675,31.709919,-19.523634,1.7217137,-13.62848,-9.11002,-9.474399,-6.853446,-10.732971,0.21320291,-9.305629,2.0022936,-4.7677155,-3.734381,-1.7878553,-4.184874,-5.251103,-2.0909429,-6.1103435,0.45561266,-3.917877,1.7226449,1.4367225,4.4009657,3.24725,7.699745,2.8257875,6.3320394,2.7923791,4.9093814,2.5651882,1.4844514,-0.9696943,1.0115881,-1.0427505,1.8897259,-1.2766249,-2.258035,-1.8630091,1.1188384,Angry,Normal
4,-724.06805,53.929638,0.76826656,10.1902895,-5.7254314,-1.3705367,-11.506711,-6.7272954,-8.388384,-1.2785616,-10.771179,-0.2521342,-7.166415,0.9646074,-3.7839625,-2.9911904,-2.6326644,-3.1011508,-4.562044,-2.2423103,-4.865532,-2.2905257,-4.768787,-0.5695454,-3.793807,-0.50246435,-2.6492584,0.49004808,-2.351439,3.4390528,3.3286657,8.637044,8.944055,10.673691,7.4508944,4.1138787,1.4622582,-0.01049472,-0.11500467,1.2586987,Sad,Normal
5,-504.81903,35.36371,-20.276873,2.4090495,-16.692793,-9.775815,-7.344711,-10.169283,-9.786889,0.59796566,-11.52633,3.5423594,-6.61167,-4.1346464,-0.4684992,-6.034759,-5.0906043,-2.7379582,-6.5117297,0.2940973,-3.3549356,-0.111132346,-1.7927598,-1.4528909,-1.9158595,3.161797,1.6684828,8.901254,6.0569854,6.227355,2.6844873,1.9564085,-0.062075425,1.8305435,0.73314446,2.290042,-0.29954615,0.6265012,-1.953466,0.05905203,Angry,Normal
6,-495.744,36.105,-20.114317,-1.0959026,-12.146715,-14.589026,-11.534423,-12.19914,-13.008709,0.97375154,-8.809221,2.1358197,-7.2050056,-2.464125,-2.089772,-4.4275064,-4.1801343,-1.8555181,-8.084734,-1.6696794,-6.2133937,-3.8495638,-3.374915,-0.11951438,-0.02756341,6.6084676,1.711889,9.72549,3.8188524,6.835467,4.749091,3.5645807,0.4395534,1.0632089,-0.7793155,1.6550778,0.083311476,0.24513656,-2.115289,-2.2399237,Angry,Normal
7,-612.19824,34.60819,-17.706995,2.503754,-9.780977,-8.099133,-14.965941,-7.147993,-10.472977,-6.184803,-8.673017,-0.28619185,-9.517838,-4.0005565,-3.7584145,-7.3135977,-5.417974,-3.2019525,-8.181922,-1.6257674,-4.1261215,-2.2830672,-2.2702289,0.84180576,-0.31748915,4.6761355,1.9274858,6.2424493,1.6375232,1.2966769,-0.55303824,1.9934025,5.580107,7.2093096,3.1495378,1.9770432,-2.2909718,-1.6396422,-2.0523884,0.95316,Happy,Normal
8,-563.413,48.516487,-20.903885,5.1222234,-14.090172,-11.026685,-10.757031,-11.915205,-8.316585,0.08632539,-10.945222,-2.1764941,-5.037793,-5.189199,-2.7952254,-3.2974632,-7.8230186,-2.536739,-6.7278266,-3.045013,-4.97779,-2.116065,-4.4991484,-1.3075994,-3.773358,0.8869221,0.4510891,4.3411384,2.6953347,2.431276,-0.2842832,0.21381895,-1.2678556,2.8548434,3.1621935,2.920317,-0.00914286,-0.42280608,-1.2555981,0.64636254,Disgust,Normal
9,-544.81824,31.04897,-22.280817,4.248713,-13.6644335,-12.590341,-14.37339,-9.286923,-13.485266,-1.2436315,-11.38238,2.4577286,-11.493677,-1.5805229,-2.7067618,-7.300023,-4.555155,-2.2908196,-7.6885986,1.5255418,-1.4492674,5.127677,2.9170606,8.300131,6.0476513,7.029772,1.8925686,7.771263,-0.76214236,3.0698729,-1.039914,1.9234195,1.0875909,-0.6970918,-1.4035783,-0.5844254,-2.5913048,-0.9070766,-2.2512288,-1.4393393,Happy,Strong
10,-677.7494,50.334274,-15.593037,1.1593592,-7.6378894,-5.3820796,-12.275176,-8.055871,-9.307464,-4.2505145,-8.551326,0.6913347,-8.327979,-3.02483,-2.7854161,-5.575791,-4.4743466,-2.558426,-5.9515924,-2.0178692,-3.9065156,-0.5444792,-2.8548577,-0.44398025,-1.3123983,3.442574,0.31965688,6.2395086,2.7382948,4.0120583,0.9701122,0.7964841,1.651556,3.0061157,1.4087269,2.7033172,-0.24950677,-0.30861068,-2.9112105,-2.0433698,Happy,Normal
11,-507.12445,21.356062,-23.659338,-2.3130138,-17.003374,-13.214709,-14.550977,-7.684595,-11.824283,-2.7566571,-13.217315,-0.29697648,-10.7178755,-1.5757158,-4.9007955,-7.494423,0.055410236,7.875631,7.879766,17.531986,8.9725275,5.0423594,-1.4654119,2.9654717,-1.2026734,1.415836,-2.9522638,1.4056185,-2.5046484,-0.08750086,-5.7367096,0.1306728,-0.54866606,1.6093067,-1.503822,1.8926929,-0.0944064,0.897994,-2.5136778,2.4990413,Happy,Strong
12,-694.05963,47.201416,-6.028513,7.8806224,-6.072598,-3.1046975,-10.916104,-7.13018,-11.02619,-6.120371,-5.9353137,-2.5069027,-9.942964,-2.804535,-3.7866707,-4.6072097,-6.725439,-3.2710617,-5.051462,-3.5915766,-3.7187111,-1.0423645,-1.4958333,1.5227429,-1.5397506,2.653477,-3.9191682,2.429665,0.78188497,5.608656,3.7648249,7.98378,4.788097,5.3914433,1.054459,2.7671003,-0.13500552,-0.124277465,-1.3523613,-1.4963859,Calm,Strong
13,-679.5745,41.060703,-6.6311183,5.5104003,-9.822078,-4.064352,-16.842901,-10.894575,-9.512824,-4.7260427,-10.090157,-0.27761927,-5.926989,-4.2140684,-2.3163917,-4.7746863,-5.3174806,-2.269065,-6.5035315,-3.1197631,-4.140551,-1.7578669,-3.7704463,0.46663156,-1.2108746,1.3020247,-0.63957655,3.6609027,1.3030142,5.7783885,4.078003,5.016621,2.952427,4.3210177,2.725204,4.1522694,1.325156,-1.0405518,-2.9840572,-0.5031339,Neutral,Normal
14,-455.93866,6.9559584,-27.052177,-9.363137,-12.501429,-12.745587,-19.33601,-14.905254,-13.15698,3.6797001,-0.80568576,14.6601095,11.349694,12.689958,2.1073546,-5.45524,-4.639469,4.038494,-3.3238227,-2.8912446,-4.305046,0.49179116,1.1434588,3.3807106,-1.3169352,0.70296186,-1.9130826,1.3264759,-2.1418633,-0.37552732,-1.8929359,-0.17360085,-0.10631903,2.1979408,0.10252053,1.7063993,-0.009578264,-0.21021447,-1.6256018,1.6104481,Fearful,Strong
15,-527.8616,26.079605,-12.621923,-0.1988859,-14.203721,-8.756998,-17.024673,-8.2673,-10.592122,-1.7233646,-11.925894,-1.2712194,-5.8770294,-2.6728847,-3.5390115,-3.2766247,-7.672944,-0.09917006,-4.682579,4.211219,8.093115,11.078888,7.904751,11.576814,2.5082033,2.9267151,-2.7879436,3.8691838,-0.7565471,1.2825515,-3.8553855,-1.823408,-2.7724266,0.8990487,-2.018975,-0.9298916,-1.2894418,-0.80589503,-2.2301848,0.27879673,Fearful,Normal
16,-525.5649,29.642427,-18.906258,-0.94728684,-14.103073,-6.0664506,-11.483167,-9.622753,-7.6308284,-0.36919194,-9.370047,0.4351602,-6.892403,-0.84220976,1.9000688,1.7383409,2.3447175,6.9796247,3.369088,8.24085,5.51693,6.852136,2.728604,5.8845825,-1.7346531,0.75173897,-2.6590009,1.2305342,-3.097616,-0.067405224,-4.738799,-0.70063406,-1.7650418,2.59502,-0.15238574,1.593732,-0.68567675,1.226126,-0.7033157,0.8728108,Fearful,Normal
